senderID,amount,transactionDate,hasMemo,receiverID,senderAcctTenure,receiverAcctTenure,transactionType,transactionDistance,fraud
51148,154.09,20220112,0,98244,432,432,Personal,17.11,0
89524,59.52,20221122,1,91577,1076,654,Bill,11.12,0
80460,76.63,20220507,1,94245,736,736,Personal,4.76,0
58155,12.76,20220207,0,94715,568,224,Bill,3.24,0
74400,151.62,20220226,0,92631,1077,322,Bill,4.64,0
17976,18.24,20220818,1,92151,16,1029,Bill,18.37,0
76903,71.51,20220318,0,94783,402,986,,24.63,0
78649,11.91,20220322,0,95537,690,488,Bill,6.79,0
63222,103.47,20221112,1,96307,885,827,Personal,21.14,0
63920,122.22,20220622,0,94735,397,341,Gift,22.65,1
61777,46.69,20221203,1,98703,324,756,Bill,16.38,0
41951,19.79,20221005,0,96120,124,661,Gift,31.45,0
69388,93.7,20220904,1,97339,401,951,Personal,261.92,0
82767,91.59,20220809,0,98878,612,593,Bill,21.56,0
29673,104.24,20221026,0,90373,19,480,Personal,7.84,0
23048,170.08,20221017,1,90232,570,320,Bill,14.12,0
63222,39.4,20220411,1,98244,885,432,Bill,13.56,0
47646,24.24,20220411,0,94783,267,986,Bill,8.74,0
53507,48.31,20221121,1,94512,533,1093,Gift,0.07,0
25235,6.34,20220630,0,92631,320,322,Bill,17.8,0
82465,87.4,20221022,0,97272,928,894,Personal,5.36,0
15330,71.01,20220616,1,92702,193,399,Bill,30,0
75542,77.6,20220117,0,90609,60,271,Bill,3.18,0
74951,44.42,20221019,1,94139,918,628,Personal,3.42,0
16099,199.78,20220812,1,91807,799,773,Bill,3.62,0
69190,89.63,20221225,0,95527,805,402,Bill,23.23,0
48469,123.64,20220707,1,95238,336,533,Personal,20.73,0
64760,58.69,20220918,0,98723,262,432,Gift,19.53,0
75560,230.04,20220905,0,98721,605,514,Bill,2.88,0
60174,53.55,20221009,0,98771,52,417,Gift,369.32,0
23235,98.79,20220218,0,94398,239,408,Gift,3.52,0
71224,77.42,20220516,0,90873,63,491,,35.62,0
55101,67.57,20220327,0,96773,377,672,Bill,33.52,0
80887,34.94,20221019,0,95527,779,402,Gift,28.89,0
53402,6.49,20220207,0,98283,476,233,,22.79,1
62974,9.01,20220607,0,97662,884,412,Personal,21.88,0
60010,150.76,20220831,0,94544,207,903,Personal,29.04,0
69405,2.98,20221117,1,91300,779,903,Bill,22.95,0
24171,72.92,20220912,1,95537,514,488,Gift,3.96,0
76949,167.95,20220415,1,90107,859,784,Bill,15.69,0
17268,1.95,20220730,0,97891,797,975,Bill,7.78,0
79748,215.17,20220103,0,93772,262,624,Personal,19.88,0
13064,2.4,20221026,0,98703,384,756,Gift,25.95,0
34562,189.27,20220525,0,97751,1003,885,Personal,1.98,0
76745,29.56,20220702,0,92763,399,941,Gift,18.53,0
31503,44.51,20220729,1,91034,475,505,Bill,5.87,0
59403,116.61,20221113,1,91863,792,941,Personal,5.43,0
86199,98.16,20220625,0,94958,399,1045,,0.44,0
55591,143.79,20220318,0,98244,89,432,Personal,16.63,1
70032,1.83,20220324,0,98721,608,514,Bill,8.55,1
54145,152.75,20220224,1,99035,322,16,Personal,13.34,0
40115,70.94,20220617,0,98838,828,245,Bill,20.6,0
41951,151.78,20220118,1,98283,124,233,Bill,1.92,0
54242,0.96,20220625,1,96851,992,534,Personal,15.01,0
43104,91.38,20221026,1,97673,639,152,Gift,17.82,0
16099,22.53,20221109,0,96875,799,845,Personal,10.11,0
51272,5.14,20220225,1,95484,336,662,Gift,24.37,0
54145,79.29,20220703,1,97891,322,975,Bill,4.16,0
79789,77.9,20220730,0,96571,1044,140,Personal,3.65,0
26035,173.9,20221230,0,94715,186,224,Bill,7.93,0
75560,141.39,20220607,0,99214,605,840,Personal,12.43,0
66483,133.91,20221002,1,97308,434,246,Personal,8.65,0
77586,171.06,20220816,0,90801,140,817,Gift,8.66,0
34149,21.46,20220811,1,98022,428,517,Personal,2.29,0
62974,82.61,20220908,0,98168,884,241,Personal,28.18,0
89766,158.32,20220831,0,90244,840,281,Bill,8.16,0
54699,16.48,20220313,1,98880,673,1006,Bill,6.44,0
63716,46.28,20221215,1,94512,784,1093,,12.23,0
78649,13.81,20221026,0,94482,690,475,Personal,21.1,0
27480,94.42,20220415,1,95730,291,268,Bill,8.67,0
50293,96.29,20220604,1,99807,221,223,Bill,21.59,0
80154,64.09,20220708,0,94007,281,65,Personal,3.95,0
27244,80.92,20220819,1,98168,853,241,,40.17,0
69574,67.23,20221024,0,96698,945,476,Bill,31.26,1
54145,96.76,20220305,0,95613,322,99,Gift,6.6,0
51047,159.43,20220804,1,94398,1081,408,Bill,27.33,0
75293,98.43,20221227,0,90868,440,814,Bill,11.42,0
87769,43.2,20220816,1,97821,698,720,Bill,9.82,0
54699,182.02,20220516,1,98355,673,239,Personal,9.2,0
24429,165.03,20221211,1,94260,188,354,Personal,43.69,0
81654,130.24,20220421,0,96967,442,643,Personal,17.72,0
79088,170.79,20220329,1,98365,93,273,Gift,15.61,0
61736,111.92,20220615,0,92631,648,322,Personal,6.39,0
49185,38.12,20220106,0,97348,1063,477,Personal,1.26,0
34561,165.65,20221215,0,91863,505,941,Bill,4.36,0
32078,90.1,20220607,0,94007,147,65,Personal,15.89,0
17976,107.41,20221027,1,95577,16,597,Bill,7.43,0
86199,153.97,20220313,1,94007,399,65,Bill,2.33,0
71979,246.69,20220904,0,91115,705,947,Personal,15.05,0
69405,92.25,20220318,0,92963,779,449,Bill,10.73,0
73787,213.06,20220331,0,95578,299,476,Personal,0.74,0
44405,15.34,20220211,0,96925,113,570,Bill,2.17,0
26271,90.4,20220831,1,91034,617,505,Bill,2.77,0
69603,50.12,20220607,0,93164,147,1052,Bill,5.87,0
75951,18.76,20221019,0,96851,751,534,Personal,13.5,0
86601,149.93,20220816,0,97662,833,412,Bill,43.89,0
75049,305.41,20220726,0,96297,989,113,Personal,0.41,1
23737,47.08,20220803,1,91935,631,89,Bill,9.69,0
30729,34.32,20221030,1,98880,65,1006,Bill,23.43,0
67309,96.17,20220410,0,94398,845,408,Bill,57.56,0
40339,185.72,20220213,1,90868,1067,814,Bill,0.81,0
20315,101.13,20220612,0,95809,997,666,Bill,22.71,0
23186,202.34,20220814,1,91224,477,996,Gift,8.41,1
47108,33.77,20221104,0,96454,1063,800,Bill,4.08,0
72477,89.31,20220103,0,90563,360,229,Bill,6.69,0
76178,12.34,20220613,1,95730,284,268,Bill,35.89,1
47646,83.73,20220729,0,92233,267,797,Bill,9.6,0
15781,12.67,20220812,0,93761,80,527,Personal,4.6,0
20714,194.12,20221227,0,94482,965,475,Bill,7.3,0
63739,59.59,20220429,1,90107,449,784,Bill,26.78,0
42306,140.59,20221020,0,94567,940,918,Gift,13.22,0
76745,119.84,20220827,1,96307,399,827,Personal,7,1
15781,97.72,20220120,0,99331,80,581,Gift,0.75,0
67238,209.65,20220309,1,99922,407,637,Bill,2.55,0
84054,14.25,20220713,0,99111,172,819,Personal,8.75,0
54699,102.93,20220821,0,92631,673,322,,4.07,0
41876,194.86,20220303,0,90791,429,712,Bill,1.18,0
64760,128.35,20220113,1,95577,262,597,,21.12,0
49876,45.44,20220923,0,90719,780,166,,3.04,0
40865,6.51,20220611,0,98838,560,245,Personal,19.66,0
21959,130.45,20221005,0,90864,49,1077,Gift,13.75,0
61520,73.92,20220101,0,99491,213,986,Bill,8.73,0
16788,101.71,20220616,0,97658,548,130,Personal,4.9,0
11329,92.77,20220501,1,90873,,491,Gift,10.42,0
75293,34.61,20221012,0,91807,440,773,Bill,12.61,0
26592,15.36,20220223,0,98838,525,245,Bill,12.85,0
74400,35.57,20220331,1,98355,1077,239,,6.79,0
59663,26.49,20220128,1,93964,526,97,Personal,17.92,0
65340,96.98,20221112,1,91017,1049,595,Bill,2.03,0
81371,133.04,20220930,0,94398,819,408,Personal,23.19,0
88598,11.92,20220720,0,96144,543,225,Personal,9.31,0
87575,11.93,20220202,1,94567,624,918,Gift,6.17,1
71224,3.16,20220113,0,90188,63,120,Bill,9.49,0
42105,4.58,20220421,0,90609,986,271,Bill,22.99,0
85021,28.6,20220422,0,94245,854,736,,6.92,0
58567,30.35,20220908,1,97662,491,412,Personal,0.57,0
41858,12.42,20220421,1,93005,143,83,Bill,6.65,0
23724,0.53,20221008,1,94567,268,918,Personal,15.71,0
53502,71.6,20220621,1,96454,713,800,Gift,9.99,1
52530,14.3,20221021,0,91925,1052,700,,24.38,0
22741,76.68,20220510,1,94956,183,303,Bill,22.58,0
81613,182.42,20221231,1,90873,597,491,Personal,6.89,0
65918,123.87,20220812,1,91300,925,903,,6.53,0
55101,35.51,20220324,0,92947,377,643,Gift,45.79,0
48197,44.38,20221010,0,90028,225,742,,12.79,0
80460,159,20221010,1,98244,736,432,Bill,1.77,0
57647,142.83,20220110,0,94309,618,130,Personal,14.08,0
89524,134.88,20220921,0,96925,1076,570,,3.41,0
47888,85.59,20220202,1,93589,943,93,Bill,26.7,0
37809,228.98,20221125,0,98771,538,417,Personal,15.93,1
45871,181.57,20220423,0,91935,166,89,Bill,14.33,0
81115,69.6,20220112,1,92421,394,570,Bill,16.96,0
20315,78.78,20220507,0,91935,997,89,Gift,35.31,0
62059,180.47,20220602,1,99214,662,840,Gift,26.05,1
81115,53.93,20220415,0,90563,394,229,Gift,41.57,0
40672,191.55,20220207,0,91533,1029,671,Gift,25.6,0
37117,16.17,20220721,1,90612,783,641,Bill,3.96,0
42322,192.88,20221214,1,90609,1062,271,Bill,4.13,0
59785,20.06,20220407,0,94007,445,65,Personal,6.33,0
77775,34.47,20220924,1,97308,850,246,Personal,8.6,0
80887,78.59,20221118,0,96120,779,661,Gift,8.53,0
65347,146.42,20220811,0,90998,488,449,Gift,7.8,1
41199,67.61,20220415,1,92631,607,322,,5.49,0
72091,132.28,20220326,0,95636,533,183,,17.48,0
20684,62.46,20220710,1,93321,372,586,Bill,7.89,0
84054,108.54,20221230,0,92631,172,322,Bill,2.79,0
27223,25.7,20220507,1,97761,915,336,Bill,8.39,0
86899,81.88,20220107,0,93317,1006,291,Bill,22.99,0
22963,119.29,20221114,1,90868,652,814,Gift,19.04,0
45512,13.94,20220525,0,95206,643,781,Bill,37.79,0
72477,9.37,20220314,0,94783,360,986,Personal,9.07,0
64760,114.89,20220329,0,94309,262,130,Personal,1.47,0
20391,73.55,20220507,0,99214,549,840,Gift,22.39,0
61304,30.21,20220427,1,90719,94,166,Gift,14.45,0
34981,161.92,20221010,0,94397,432,726,,32.33,0
16788,57.89,20220518,0,93916,548,1071,Personal,14.66,0
86271,209.79,20220930,0,91807,570,773,Gift,16.45,0
53502,116.24,20221204,1,94992,713,193,Bill,1.95,0
16788,57.08,20220710,0,95484,548,662,Bill,0.34,0
34981,20.76,20221226,0,95578,432,476,Bill,6.82,0
51787,32.41,20221221,1,94408,478,608,Gift,30.49,1
88960,60.64,20220518,0,98406,1035,662,Gift,35.8,0
80887,40.64,20220307,0,92112,779,771,Bill,17,0
75542,38.59,20220825,0,96875,60,845,Bill,12.81,0
79789,112.23,20221110,1,94245,1044,736,Personal,48.93,0
60010,46.67,20221117,1,92631,207,322,Bill,23.16,0
59403,100.86,20220528,0,99807,792,223,Gift,14.88,0
41858,290.9,20220803,0,94567,143,918,Personal,12.53,0
21343,5.24,20220224,1,95965,824,618,Personal,0.52,0
31503,15.98,20220518,0,98878,475,593,Bill,15.84,0
78649,95.89,20220911,1,98244,690,432,Personal,10.44,0
70780,132.71,20220328,0,98531,800,554,Personal,3.34,0
24515,60.93,20221121,0,99025,144,134,Bill,15.93,0
74575,126.24,20221201,0,91966,831,147,Gift,4.85,0
87695,81.92,20220721,0,99518,997,859,Bill,19.51,0
66381,3.05,20220725,0,96428,114,717,Bill,10.09,0
82045,122.51,20220823,0,95493,840,526,Bill,38.15,0
29673,41.82,20220227,1,93005,19,83,Personal,3.49,0
52745,50.83,20220414,1,95206,716,781,Personal,,0
71403,63.28,20221025,0,96428,730,717,Bill,5,0
12959,101.5,20220717,1,94309,881,130,Bill,11.33,0
22963,137.97,20221203,0,93005,652,83,Personal,8.17,0
87998,61.57,20220620,1,91224,354,996,Bill,18.31,0
38179,105.99,20220116,0,97761,894,,Bill,25.64,0
55245,75.13,20221219,0,94245,953,736,Bill,19.25,0
17731,60.54,20220803,1,94512,637,1093,Personal,21.39,0
70281,8.69,20220402,0,92952,332,157,Gift,23.83,0
73632,19.04,20220127,1,96454,773,800,Personal,3.55,0
63222,32.15,20221012,1,93964,885,97,Personal,32.36,0
66483,59.14,20221113,0,98243,434,303,Personal,36.11,0
54794,18.91,20220309,1,99230,595,792,Gift,0.8,0
86271,39.73,20221225,1,94916,570,213,Gift,19.54,0
83687,219.38,20220527,1,93916,951,1071,Gift,33.61,0
45512,40.1,20220304,0,94397,643,726,Bill,16.25,0
22680,14.66,20221031,0,95511,797,158,Bill,0.72,0
69405,146.11,20220321,0,90868,779,814,Bill,8.85,0
87769,269.02,20220124,1,98880,698,1006,Personal,1.77,0
43981,4.62,20220723,0,91533,1080,671,Personal,13.51,0
68549,8.16,20220414,0,93806,438,788,Bill,19.18,1
67238,33.28,20220430,0,98244,407,432,,11.14,0
70506,60.1,20221025,0,98658,472,434,Personal,23.56,0
88598,26.69,20220701,0,98283,543,233,,4.81,0
63222,82.62,20220703,0,94544,885,903,Personal,6.87,0
88960,135.53,20221216,0,96773,1035,672,Bill,5.21,0
71979,237.91,20220727,0,94735,705,341,Bill,7.07,0
32078,5.43,20221014,0,92151,147,1029,Personal,17.36,0
41951,73.23,20221119,1,94309,124,130,Bill,9.3,0
88940,2.29,20220930,0,94408,760,608,Gift,28.18,0
14732,81.64,20220912,1,93964,385,97,Personal,15.47,0
11567,133.81,20220225,0,98365,733,273,Personal,12.03,0
50501,157.83,20220523,1,96502,666,666,Bill,3.52,0
81479,215.83,20220613,0,98022,292,517,Bill,15.08,0
42666,38.42,20220125,1,93544,114,797,Bill,5.29,0
87769,63.46,20220418,1,90612,698,641,Bill,11.43,0
38179,139.55,20220529,1,96176,894,779,Personal,10.49,0
86271,7.33,20220918,1,99922,570,637,Personal,2.79,0
14236,176.95,20221214,1,97751,268,885,Personal,24.07,0
31467,169.55,20220617,0,92112,725,771,Bill,19.45,0
31503,50.79,20220818,0,94482,475,475,Personal,30,0
43981,134.13,20220625,1,98880,1080,1006,Gift,28.29,0
33199,103.69,20221016,0,93471,947,493,Personal,5.21,1
38750,89.35,20220828,0,96571,925,140,Personal,13.95,0
76922,46.93,20220505,0,92366,861,262,Bill,12.6,0
74662,68.96,20220817,1,98880,474,1006,Bill,25.56,0
86271,48.56,20220601,0,94007,570,65,Gift,26,0
14236,49.35,20221020,0,98283,268,233,Personal,33.74,0
74819,55.13,20220613,1,98531,621,554,Bill,22.55,0
86601,211.26,20220408,1,98167,833,321,Gift,19.39,0
69405,158.63,20220306,0,95809,779,666,Personal,1.85,0
43981,4.67,20221106,1,94706,1080,639,Bill,9.35,0
88815,251.79,20220829,0,98721,432,514,Gift,10,0
58229,7.32,20221005,0,96428,153,717,Personal,4.12,0
70327,7.99,20220118,1,92631,581,322,Personal,15.43,0
26592,192.57,20220222,0,98721,525,514,Gift,12.93,0
75951,132.76,20220124,0,94482,751,475,Personal,0.79,0
13139,45.49,20220216,1,93544,884,797,Personal,38.74,1
61777,68.41,20221102,0,95537,324,488,Bill,32.63,0
12925,255.42,20220124,1,93005,334,83,Gift,19.51,0
62433,23.37,20220801,0,98355,449,239,Bill,7.71,0
63716,113.23,20220710,0,99329,784,526,Gift,11.47,0
40115,46.82,20220111,0,94412,828,225,Bill,18.51,0
75542,24.47,20220902,0,95169,60,429,,20.14,0
13570,129.79,20220930,0,97348,133,477,Bill,8.78,0
20684,16.84,20221230,0,95636,372,183,Personal,37.14,0
55245,18.51,20220210,1,97751,953,885,Personal,2.77,0
31202,91.36,20221029,0,92346,322,325,Personal,26.88,0
21343,201.83,20221015,0,94916,824,213,Gift,11.62,0
59785,135.33,20220510,1,97272,445,894,Personal,23.69,0
40771,46.32,20221031,0,96307,1033,827,Gift,12.25,0
29627,78.29,20221208,0,99385,71,974,Gift,8.57,0
86601,5.34,20221222,0,95154,833,916,Gift,380.52,0
72091,108.12,20221031,1,99491,533,986,Gift,8.18,0
33042,143.72,20220212,0,90742,676,1032,Bill,19.93,0
24429,47.53,20221031,0,98658,188,434,Bill,21.1,0
86601,158.49,20220313,0,91115,833,947,Personal,2.2,0
24724,16.38,20220128,1,90563,903,229,Bill,35.11,0
22963,171.44,20220822,1,95537,652,488,Gift,29.48,0
79088,40,20220714,0,95730,93,268,Personal,1.77,0
11143,32.93,20221113,0,92366,981,262,Bill,14.52,0
62248,38.93,20220804,0,94408,528,608,Personal,17.99,0
50424,137.41,20220308,1,90801,93,817,Personal,39.88,0
50501,31.25,20220924,0,95965,666,618,Gift,16.47,0
75957,42.94,20221220,1,93964,819,97,Gift,0.69,0
46502,75.37,20220418,0,92233,147,797,Gift,23.49,0
14453,56.37,20220211,1,95083,523,,Personal,8.98,0
81613,10.16,20221205,1,95206,597,781,Personal,7.3,1
53885,95.66,20220314,0,98721,602,514,,13.16,0
47982,62.84,20220802,1,92631,789,322,Bill,10.71,1
45871,70.2,20220418,0,98771,166,417,Bill,12.7,0
27480,109.3,20221208,1,99111,291,819,Bill,2.57,0
40438,17.2,20220925,1,99277,814,829,,27.02,0
51047,66.36,20221202,0,99518,1081,859,Gift,37.31,0
87769,143.55,20220721,0,99214,698,840,Bill,1.14,0
26592,171.13,20220211,0,94309,525,130,Personal,9.91,0
16788,122.03,20220131,1,93317,548,291,Bill,21.48,0
48469,7.47,20220918,1,93471,336,493,Bill,5.69,0
66381,267.51,20220711,1,97251,114,124,Personal,12.92,0
81613,151.98,20220605,1,96925,597,570,Personal,4.76,1
57647,53.11,20220514,0,95527,618,402,Personal,16.52,0
15695,82.12,20220801,0,92949,671,808,,10.49,1
89766,130.79,20220204,0,92796,840,725,Gift,3.82,0
10732,73.28,20221117,1,91115,140,947,Bill,6.42,0
72091,78.09,20220428,0,96851,533,534,Bill,27.75,0
42322,131.67,20220925,0,99491,1062,986,Bill,6.51,0
46502,92.01,20220111,1,95083,147,207,Personal,3.15,0
24429,8.29,20220609,0,92233,188,797,Personal,12.15,0
57647,108.12,20220411,0,94567,618,918,Bill,9.38,0
75293,71.8,20220309,1,99922,440,637,Bill,22.33,0
61304,17.58,20220128,0,94783,94,986,,13.33,0
27827,52.65,20220824,1,98355,1052,239,Bill,0.93,0
38201,37.05,20220209,0,98079,618,168,Gift,13.91,1
25235,62.62,20221023,0,94706,320,639,Bill,16.13,0
61560,13.63,20220723,0,92366,635,262,Personal,22.71,1
77586,63.4,20220530,0,99679,140,445,Gift,9.03,0
23728,26.64,20221202,1,90107,699,784,Personal,15.43,0
87998,34.52,20220705,0,97744,354,135,Gift,12.83,0
69405,118.08,20221125,1,97119,779,860,,8.8,0
19877,168.18,20220117,1,97761,118,336,Bill,7.12,0
62627,147.69,20220202,0,93317,808,291,Personal,7.28,0
86891,14.48,20221115,1,92233,770,797,Personal,10.71,0
57784,84.72,20220109,0,92366,35,262,Bill,5.33,0
80887,24.43,20221013,0,94044,779,377,Gift,17.88,0
82008,37.67,20220401,1,91017,204,595,Bill,12.27,0
14035,6.69,20220609,1,97119,249,860,Bill,10.14,0
41951,39.45,20220326,0,95154,124,916,Bill,7.62,0
51047,143.79,20220428,1,95809,1081,666,Bill,34.5,0
56742,86.59,20220813,0,94783,253,986,Gift,27.34,0
29738,107.06,20220104,0,99491,910,986,Bill,22.2,0
34561,984.82,20220216,0,91034,505,505,Gift,2.37,0
26592,72.05,20220911,1,91224,525,996,Gift,39.22,0
16571,67.64,20221210,0,96307,119,827,Personal,9.31,0
34981,127.41,20220129,0,95169,432,429,,54.94,0
21343,25.45,20221121,0,96571,824,140,Gift,6,0
29831,42.45,20220910,0,99410,820,636,Bill,0.25,0
31467,1.31,20220819,0,94512,725,1093,Gift,10.31,1
40672,72.57,20220128,1,94412,1029,225,Personal,52.26,0
80887,189.21,20220224,0,90028,779,742,Bill,12.23,0
62627,58.31,20220226,0,95013,808,993,Bill,18.55,0
62892,49.44,20221128,0,96307,1073,827,Personal,0.8,0
77586,93.2,20220114,0,99331,140,581,Bill,5.82,0
54347,95.87,20220203,0,95238,69,533,Personal,9.43,0
21343,21.51,20220830,1,93164,824,1052,,32.13,0
54879,1.18,20220526,0,96502,999,666,Personal,48.87,0
61777,70.68,20220801,0,95083,324,207,Personal,9.47,0
81479,80.79,20220906,0,93241,292,906,Personal,25.15,0
38750,30.53,20220527,0,90232,925,320,Personal,12.09,0
76949,82.02,20220416,0,97272,859,894,Personal,1.07,0
51047,128.58,20220523,1,97744,1081,135,Personal,8.69,0
59663,123.53,20220701,0,93964,526,97,Personal,3.15,0
24724,153.81,20220831,1,91533,903,671,Gift,8.38,0
20650,112.31,20220303,0,96051,326,999,Personal,1.22,0
68830,80.27,20220117,0,94544,,903,Bill,20.65,1
89246,226.75,20221125,1,98355,666,239,Personal,6.05,0
47108,40.39,20220516,1,96307,1063,827,Bill,5.58,0
43104,49.27,20220508,0,99025,639,134,Personal,10.05,0
17351,83.9,20220214,1,98168,44,241,Bill,3.46,0
24429,76.81,20220926,1,98406,188,662,Personal,2.97,0
10667,4.04,20220603,1,92702,136,399,Bill,19.68,1
62059,90.28,20220909,1,91371,662,884,Bill,21.89,0
74400,74.52,20221205,0,92880,1077,1062,,28.1,1
39109,63.24,20220426,0,94412,792,225,Gift,8.61,1
83700,281.76,20220529,0,92796,662,725,Personal,0.34,0
61197,57.4,20220515,1,98658,543,434,Gift,14.03,0
66925,78.66,20220720,0,96773,408,672,Bill,18.96,1
38750,49.21,20220906,0,99214,925,840,Bill,29.57,0
26035,15.89,20220921,0,90612,186,641,Gift,28.44,0
59874,0.88,20220117,0,91925,34,700,Gift,24.96,0
25391,77.87,20220422,1,92702,805,399,Personal,13.03,0
10822,36.8,20220710,0,96454,273,800,Personal,0.76,0
48621,3.54,20220830,1,96120,271,661,Bill,15.56,0
21343,271.13,20221106,0,94408,824,608,Bill,28.43,0
40771,85.45,20220720,0,93761,1033,527,Gift,30.31,0
85942,28.41,20220125,0,91017,1060,595,Bill,10.36,1
21959,56.63,20220328,1,91115,49,947,Bill,18.53,1
64397,13.81,20220723,1,94916,974,213,Personal,13.29,0
55101,117.82,20220503,1,94783,377,986,,10.7,0
20650,4.51,20220929,0,98244,326,432,Gift,12.6,0
72091,126.5,20220411,0,98838,533,245,Bill,19.81,0
39949,79.26,20220621,0,95484,267,662,Bill,272.65,0
14663,77.68,20220727,0,93317,436,291,Bill,9.91,1
76903,119.94,20220317,1,98244,402,432,Personal,2.39,0
46502,90.76,20220216,0,92346,147,325,Gift,5.24,0
39430,123.75,20220505,0,99807,1004,223,Bill,8.02,0
44732,86.37,20220301,0,90801,829,817,Personal,8.2,0
58155,30.43,20220306,1,95083,568,207,Bill,0.73,1
83055,38.09,20221110,1,96925,73,570,Bill,14.92,0
61304,94.91,20220111,0,91807,94,773,Bill,22.51,0
61197,121.9,20220220,0,96307,543,827,Gift,12.33,0
82045,54.12,20221126,0,90008,840,52,Personal,10.74,0
27343,125.96,20220514,1,95484,412,662,Gift,7.06,0
81613,29.66,20220731,1,96867,597,172,Bill,11.03,0
89766,69.81,20220302,0,96698,840,476,Bill,1.2,0
63222,10.51,20220524,1,99214,885,840,Bill,6.3,0
18050,107.38,20220511,0,92352,60,278,Bill,22.91,0
15781,93.96,20221213,1,91935,80,89,Gift,14,0
59676,156.58,20221114,0,96967,612,643,Bill,7.17,0
45512,47.1,20220430,1,97744,643,135,Gift,27.98,0
51148,41.06,20220503,1,90232,432,320,Gift,32.08,0
14737,12.57,20221221,1,90244,76,996,Personal,21.27,0
62974,61.79,20220902,0,92796,884,725,Bill,36.12,0
63354,82.36,20220212,0,91577,856,654,Gift,20.95,0
57928,128.44,20220320,1,99922,720,637,,23.85,1
27480,125.16,20221228,0,92133,291,118,Personal,3.06,0
86199,39.74,20220310,1,94567,399,918,Gift,36.11,0
82045,172.27,20221017,0,95484,840,662,Gift,28.93,0
11861,60.25,20220916,0,91115,984,947,Bill,28.36,1
75542,92.35,20220611,0,94007,60,65,Bill,7.06,0
74819,17.47,20220717,1,95206,621,781,Personal,19.48,0
74819,1.12,20221004,0,93964,621,97,Personal,7.95,0
12925,5.83,20221208,0,95578,334,476,Bill,24.68,0
55608,158.88,20220512,0,96515,794,340,Personal,44.24,0
89966,168.77,20220425,0,96698,528,476,Personal,3.8,1
39949,45.06,20220114,0,98658,267,434,Bill,11.4,0
